"# NOTE: This is the detailed row-level project tracker -- one row per BRD feature/task, spanning Phase 1 through Phase 4, cross-referenced against actual code/infra/docs (not a guess). docs/STATUS.md remains the separate, quick bullet-only snapshot of what's true right now for each layer -- the two documents serve different purposes and should not be merged. BRD Version confirmed against: v3.9 (docs/BRD_v39_Restaurant_Platform.docx)."
Feature/Task,BRD Section,BRD Version,Phase,Layer/Owner,Status,PR/Reference,Notes
BRD v3.7: Platform Admin capabilities (3.4) + Discovery/Listing Quality/Accounts (3.5),3.4; 3.5; Version History,v3.7,1,Architect / Business,Done,#111,"2026-09-18 per direct user instruction. BRD grep of v3.6 showed almost none of the requested items existed: admin was one line ('approve claims, moderate content, seed listings, manage taxonomy'); no food truck, report-a-problem, coupons, refunds, social login, deals-near-you or paid-precedence text. v3.7 adds 3.4/3.5, expands the 3.1/3.2 admin rows, records open decisions. v3.5/v3.6 kept on disk (n-2 retention). Notable BRD conflict surfaced: 3.2 says admin cannot process Stripe transactions directly, so refunds need a product decision (recommendation: Stripe Dashboard at launch)."
Admin console home + nav link (admin currently sees no admin links after login),3.4 Platform Admin Capabilities,v3.7,1,Frontend,Done,"#136, #181","Resolved by the admin console left-sidebar menu (#136: Profile / Claims / Reports / Reopen requests / Listings) plus Overview and Registered users (#181, #184) -- every admin tool is reachable from the sidebar rather than a separate hub page."
"Admin: claim queue (list pending claims, SLA, approve/reject, disputed + duplicate warning)",3.4; 8. Claim & Onboarding Flow,v3.7,1,Backend / Frontend,In Progress,#129,"PARTIAL 2026-09-19: GET /claim (admin, paginated, status filter) + /admin/claims card queue with approve/reject shipped in #129; lookup-by-id UI removed. Still open: SLA-overdue highlighting, disputed + duplicate-claim warning. Approval still does not add the claimant to the Cognito 'owner' group (needs IAM AdminAddUserToGroup -- see row below)."
Admin: owner directory + add owner + validate owner claim,3.4 Platform Admin Capabilities,v3.7,1,Backend / Frontend / Infra,Not Started,N/A,"List/search owners with brands, locations, claim status; add an owner (Cognito invite into owner group + owner_account provisioning -- needs a scoped cognito-idp admin IAM grant from Infra); assign an unclaimed listing to an owner. PARTIAL 2026-09-23 (#192): a read-only Owners report (GET /admin/owners + /admin/owners page) now covers list/search owners with brand/location/claim counts; add-owner (Cognito invite) and assign-unclaimed-listing are still not built, so the row stays Not Started."
"Admin: bulk listing import UI (CSV upload, per-row report, geocode-failure flag)",3.4 Platform Admin Capabilities,v3.7,1,Frontend / Backend,Not Started,N/A,Backend import exists (POST /admin/restaurants/bulk-import JSON; CSV via human-run scripts/bulk_import_restaurants_csv.py because the Lambda has no NAT for Nominatim). UI needs a browser-side geocode step or a documented workaround. Also surface rows with no lat/lng: 15 of 26 Irving imports are invisible in search today.
Admin: act on behalf of any owner/manager (verify parity across every write + UI entry + audit),3.4 Platform Admin Capabilities,v3.7,1,Backend / Frontend,Not Started,N/A,"Admin-parity work landed for many endpoints (PRs #77-#88 era); verify no owner/manager-only write remains, add an entry point from the listings panel into the location editor, decide on an 'acting as admin' banner + reason note (open decision in BRD 3.4)."
Admin: taxonomy management (add/rename/deactivate tags and restaurant types incl. Food Truck),3.4 Platform Admin Capabilities,v3.7,1,Backend / Frontend,Not Started,N/A,"BRD/TAXONOMY.md: only admins change tags, but no API or UI exists. Depends on the taxonomy being seeded (see seed_taxonomy row)."
"Admin: user directory (list/search users, manually confirm account, disable/enable, password reset)",3.4 Platform Admin Capabilities,v3.7,1,Backend / Frontend / Infra,Not Started,N/A,"scripts/list_users.py already lists Cognito users for developers. Manual confirmation (AdminConfirmSignUp), disable/enable and reset need Cognito admin IAM permissions (Infra, least privilege). Data-deletion requests (BRD 12) handled from the same area. PARTIAL 2026-09-23 (#184, #194): read-only registered-users report and per-user activity view exist; manual confirm, disable/enable and password reset are still not built, so the row stays Not Started."
Admin: audit log viewer,3.4 Platform Admin Capabilities,v3.7,1,Backend / Frontend,Not Started,N/A,"audit_log is written for brands/locations/owners/managers but nothing reads it. Needs GET /admin/audit-log (paginated, filter by table/actor/record) + UI."
Admin: problem-report inbox (triage of visitor reports),3.4 Platform Admin Capabilities,v3.7,1,Backend / Frontend,Done,#113,"Built by the report-a-problem workstream: /admin/reports triage page (status tabs, resolve/dismiss/re-open)."
"Admin: billing dashboard (payment status per owner/location, failed payments, Stripe link)",3.4 Platform Admin Capabilities,v3.7,2,Backend / Frontend,Not Started,N/A,BRD Phase 2 Week 6 already lists 'admin billing dashboard'; this specifies it. Depends on Stripe integration rows.
Admin: refunds -- DECISION NEEDED,3.4 Platform Admin Capabilities,v3.7,2,Backend / Architect,Not Started,N/A,"BRD 3.2 says admin cannot process Stripe transactions directly and backend/CLAUDE.md forbids Stripe calls in the request path. Options: (a) Stripe Dashboard at launch, admin console shows status + deep link; (b) in-app Refund queued as an async job. Recommendation (a). Human decision required before build."
"Admin: coupons / promo codes (e.g. 1 month free paid tier, free location) owners can redeem",3.4 Platform Admin Capabilities,v3.7,2,Backend / Frontend,Not Started,N/A,New entity (coupon + redemption) on top of the existing admin_free_offer mechanism (BRD 8b): redemption grants is_paid/paid_until with no Stripe interaction. Admin creates/expires/limits codes; owner redeems from billing page; every redemption recorded.
Admin: pricing + free-offer management screens,3.4 Platform Admin Capabilities,v3.7,2,Frontend / Backend,Not Started,N/A,platform_pricing (effective-dated) and admin_free_offer exist as tables only; today changing them means database edits.
"Admin: deals oversight (all active / scheduled / expired deals, deactivate/edit on owner's behalf)",3.4 Platform Admin Capabilities,v3.7,2,Backend / Frontend,Not Started,N/A,Blocked on the Deals engine row.
Admin: promoted-placement manager + mandatory Featured/Sponsored labelling,3.4 Platform Admin Capabilities,v3.7,2,Backend / Frontend,Not Started,N/A,BRD 9: promoted/sponsored content must be clearly labeled. Paid-first ranking (see paid-precedence row) already shows a Featured badge on paid tiles.
Admin: content moderation queue (flagged photos / listing edits),3.4 Platform Admin Capabilities,v3.7,2,Backend / Frontend,Not Started,N/A,BRD 3.1 lists 'moderate content' for admins; no flagging mechanism exists.
"Admin: multi-city management (city name, default centre/bounding box, landing page)",3.4; Phase 3 scope,v3.7,3,Backend / Frontend,Not Started,N/A,BRD Phase 3 'Multi-city admin tool'. The frontend already has a single DEFAULT_CITY_LABEL constant (PR #107) as the seam.
"Admin: operations analytics (sign-ups, claims, listings, paid conversion)",3.4; 10. Success Metrics,v3.7,3,Backend / Frontend,Not Started,N/A,Compare against BRD section 10 success metrics.
"Admin security: require MFA for the admin group, shorter admin session, no shared admin accounts",3.4; 12. Legal & Compliance,v3.7,1,Infra,Not Started,N/A,"Cognito MFA setting on the admin group/pool (Terraform, human-applied). Cheap and high value before real admin data exists."
Tile hours label: hide when unknown; 'Open today 11am-9pm' / 'Closed today',3.5 Homepage and search,v3.7,1,Frontend / Backend,Done,"#110, #214, #219","Shipped: GET /search nearest_location returns today's open_time/close_time/is_closed; tiles show 'Open today 11am-9pm' / 'Closed today' and nothing when hours are unknown. Owner/manager console tiles got the separate 'Closed now' vs 'Closed today' split in #179. UPDATED 2026-09-24 (#214, #219): hours pill sits directly under the address on the shared tile (search, home and favourites); rendering rules unchanged."
Tile 'Deals Today' label when a deal is active that day,3.5 Homepage and search,v3.7,2,Frontend / Backend,Done,"#188, #220","Shipped: content-free 'Deal(s) available today' badge on tiles when nearest_location.has_deal_today (public signal), plus a 'Deals today' toggle in the search Filters dropdown (has_deals_today). Backend in #185. UPDATED 2026-09-24: badge placement/link changed - #220 moved it to the cover top-left as a solid brand-green, non-link badge on tiles (the whole tile is the link; signed-out visitors keep the sign-in banner on the restaurant page); #219 shows the deal's own location on favourites tiles; #210/#214 layout below."
Seed the full cuisine taxonomy into the real dev database (seed_taxonomy command),3.3; TAXONOMY.md,v3.7,1,Backend,Done,#109,"seed_taxonomy management command (63 tags from docs/TAXONOMY.md) shipped in #109; run against dev (inserted/already_present 63, logged 2026-09-19 in CMD_LOG)."
Food truck: model mobile locations (no fixed address / geom),3.5 Listing quality,v3.7,3,Architect,Not Started,N/A,Tag exists; unresolved whether a food truck is listed at a base location or has scheduled stops. Product decision; BRD 3.5 says base location until decided.
Fix: management commands inherited a stale DB engine bound to another event loop (seed_taxonomy failed),N/A -- infra/process (production bug),v3.7,1,Backend,Done,#114,"Found live 2026-09-18 running seed_taxonomy right after two alembic_upgrade invocations: 'got Future ... attached to a different loop'. PR #100's dispose_engine() only cleaned up at the END of a command; a warm container can already hold an engine cached by an HTTP request on Mangum's own loop, which the command's fresh asyncio.run() loop then inherits. Fix: new discard_engine_cache() (app/db/session.py) called by run_management_command before every command -- forgets the cached engine without disposing it (disposal must run on the owning loop, which is unreachable). Abandoned pool is GC'd / dies with the container. Unit tests added (9 pass locally in the test venv)."
Dev-only: seed_random_hours command (fabricated weekly hours for locations with none),N/A -- dev tooling,v3.7,1,Backend,Done,#115,"Per direct user request 2026-09-18 ('add some default hours randomly and close some on mondays, some on tuesdays'). FABRICATED test data, not real hours -- BRD says hours come from owners; this exists only so the tile 'Open today' label and open/closed display are visible on the dev site. Touches only locations with zero restaurant_hours rows (never overwrites), deterministic per location id, ~35% closed Mondays / ~35% closed Tuesdays / ~30% open all week, open 10-11:30, close 21-22 (Fri/Sat +1h). Previewed for the 26 Irving locations: 9 Mon-closed, 9 Tue-closed, 8 open all week. Tests: unit + integration (288 passed locally). Never run against production."
Header: remove the 'For Owners' nav link (Sign In only + Add Your Restaurant CTA),3.1 User Types (auth),v3.7,1,Frontend,Done,#116,"Direct user instruction 2026-09-19 after PR #108 pointed it at owner sign-up: 'remove For Owners link totally, Sign In is enough'. The signed-out 'Add Your Restaurant' CTA (-> /signup?role=owner) remains the owner entry point. Supersedes the For Owners part of the #108 header change; the duplicate-links row is resolved by removal rather than differentiation."
Dev-only: seed_random_phones command (fabricated phone numbers for locations with none),N/A -- dev tooling,v3.7,1,Backend,Done,#118,"Per direct user request 2026-09-19. FABRICATED test data. Because phones render as live tap-to-call tel: links on the dev site, numbers are E.164 in the NANP block reserved for fictional use (555-0100..0199) behind real DFW area codes (214/469/972) so no real person can be called. Deterministic per location id; last two digits = id*37 % 100 (distinct for 100 consecutive ids). Fills only NULL/empty phones, never overwrites an owner-entered number, re-runnable. Lives beside seed_random_hours in app/scripts/seed_random_hours.py. Tests: unit + integration (291 passed locally). Never for production."
Default coffee-cup image on the restaurant detail hero + one shared DefaultRestaurantImage component,3.3 Free vs Paid Tier (photo gallery),v3.7,1,Frontend,Done,#117,"Direct user instruction 2026-09-19 ('use the coffee image as the default image wherever it is needed for the restaurant pages, tiles etc.'), after a screenshot showed the detail-page hero as a bare gradient. New ui/DefaultRestaurantImage.tsx (coffee cup over the warm gradient) is now the single default used by RestaurantCard (tiles + search) and RestaurantHero (detail page) so they stay identical. Deliberately unchanged: the owner portal's 'No cover yet' dashed box (an owner-facing prompt to upload, not a public placeholder) and the public gallery, which correctly renders nothing when empty. Verified in the browser: hero contains the SVG. Also verified while investigating: the public report-a-problem form submits successfully against the dev API."
Edit link on the public restaurant page for admin / owning owner / assigned manager (+ admin can open the editor),3.2 Owner / Location / Manager Hierarchy; 3.4 Platform Admin Capabilities,v3.7,1,Frontend,Done,#119,"Direct user request 2026-09-19 ('if logged in as admin the restaurant profile should either have an edit link or open in editable mode -- you decide; same for its owner or manager'). DECISION: an 'Edit listing' link, not an editable public page -- keeps the SEO/SSR public page identical for everyone else and reuses the existing editor. New EditListingBar shown on /restaurant/[slug] only when GET /locations/{id}/managers succeeds for the caller (owner of the brand / admin / active manager) -- the same probe the editor uses as its own gate, so the page never decides permissions itself; any failure = no link. Real gaps fixed on the way: (1) the editor page (portal/locations/[id]) was owner/manager-only so an admin following the link would have been bounced to /login -- now admin allowed; (2) its server actions refused admin too ('no access') though the backend has admin branches -- fixed (manager assignment stays owner-only per contract); (3) 'Back to dashboard' is owner/manager-only, so admins get 'Back to listings' -> /admin/listings. Also added an Edit link per location on the admin listings panel (the natural act-on-behalf entry point, BRD 3.4). Signed-in cases NOT verified in a browser (no credentials in session); signed-out verified: no bar, page loads."
Dev-only: unclaim seeded restaurants (dev_unclaim_restaurants command + scripts/dev_unclaim_restaurants.py),N/A -- dev tooling,v3.7,1,Backend,Done,#121,"Per user request 2026-09-19 to test the claim flow: un-assigns chosen seeded restaurants (owner_id NULL, is_claimed false, audit-logged). Run on dev: dera-grill and masala-wok-indian-asian-fare unclaimed."
Location about + specialties (owner/manager-editable public profile content),3.2 Owner / Location / Manager Hierarchy; 3.3,v3.7,1,Architect / Backend / Frontend,Done,#122,"Migration 0007 (restaurant_location.about, specialties); PATCH /locations/{id} validation (about<=1000 chars, <=8 specialties); portal LocationAboutForm; rendered on the public page."
"Header: Add Your Restaurant in the middle (dark pill), Sign In at the right; Add Your Restaurant -> sign in -> add-restaurant page",3.1 User Types (auth),v3.7,1,Frontend,Done,"#123, #125, #126",User requests 2026-09-19. Signed-out CTA goes to /login?next=/portal/brands/new; safeNextPath/withNext/pathAllowedForRole keep the return-to open-redirect safe.
"Restaurant profile page redesign (two-column, photo carousel, info card, hours, claim CTA with return-to)",3.3 Free vs Paid Tier,v3.7,1,Frontend,Done,#124,User request 2026-09-19. Deals highlighting deferred (deals engine is Phase 2).
Search by restaurant name (GET /search q param),3.5 Discovery,v3.7,1,Backend / Frontend,Done,"#127, #134",Case-insensitive substring on brand name; cuisine tag only on exact name (#134 tightened after noisy results). Ignores radius; un-geocoded restaurants returned with distance_mi null. Needs the coordinate backfill row below for full geo coverage.
Claim submit: show an error when the server action itself rejects,8. Claim & Onboarding Flow,v3.7,1,Frontend,Done,#128,Live 2026-09-19: submit silently did nothing once (first request after idle; backend logs clean). Added catch in ClaimForm.
Account page redesign: two-column layout matching the restaurant profile,3.1 User Types (Registered User / Owner / Manager / Admin),v3.7,1,Frontend,Done,"#130, #132","#130 generic redesign, #132 role-specific layouts (diner grid of followed restaurants; owner business dashboard with stat tiles; manager locations list; admin console)."
"Admin notifications bell in the top bar (pending claims, open reports, new owner sign-ups)",3.4 Platform Admin Capabilities,v3.7,1,Backend / Frontend,Done,#131,GET /admin/notifications. Badge = claims + reports. new_users currently limited to owner_account rows.
Admin notifications: diner/manager/admin sign-ups,3.4 Platform Admin Capabilities,v3.7,1,Infra / Backend,Not Started,N/A,No local user table for diners. Needs either cognito-idp:ListUsers grant on the user pool (Infra) or extending the post-confirmation trigger to write a local user row.
Restaurant page: hide claim CTA while a claim is pending (admins see 'Claim pending review'); hours list starts at today,8. Claim & Onboarding Flow,v3.7,1,Backend / Frontend,Done,#133,GET /restaurants/{id} gains has_pending_claim (boolean only).
Claim approval: add claimant to the Cognito 'owner' group,8. Claim & Onboarding Flow; 3.1 User Types,v3.7,1,Infra / Backend,Done,"#138, #139","Blocked on Infra: cognito-idp:AdminAddUserToGroup scoped to the user pool. Until then an approved claimant may lack portal access; workaround is adding the group by hand. UPDATED 2026-09-19: IAM grant applied to dev by the human (terraform apply, 1 in-place change); approval adds the claimant post-commit and returns owner_group_granted."
Admin claims: presigned read URL for document_upload proofs,8. Claim & Onboarding Flow,v3.7,1,Backend / Frontend,Not Started,N/A,Stored key is only linkable when it is a full http(s) URL; needs an admin-scoped presigned GET.
Owner account page: pending-claims tile (owner-scoped claims read),3.1 User Types (Owner),v3.7,1,Backend / Frontend,Not Started,N/A,GET /claim is admin-only; needs an owner-scoped endpoint.
Manager account page: 'View public page' (brand slug on managed-locations response),3.1 User Types (Manager),v3.7,1,Backend / Frontend,Not Started,N/A,GET /auth/me/managed-locations lacks the brand slug.
Backfill coordinates for imported restaurants without geocoding (15 of 26 on dev),3.5 Discovery,v3.7,1,Backend / DevOps,Done,"#140, #143, #145","Restaurants with null geom are invisible to non-text search. Re-run geocoding (Nominatim) on the human's machine or add a management command. UPDATED 2026-09-19: run on dev, 15/15 resolved (Census geocoder primary, Nominatim fallback); see docs/SCRIPTS.md."
CCPA export/delete coverage for listing_report reporter email,7. Non-Functional Requirements (Compliance); 12. Legal & Compliance,v3.7,1,Backend,Done,"#166, #168",Superseded/duplicate of the Done row 'CCPA export/deletion: cover listing_report reporter data' (#166); frontend type fixed in #168.
Search page: tag filters in a Filters dropdown (popover / mobile sheet) with active-filter chips,3.5 Discovery,v3.7,1,Frontend,Done,#135,"Ready for review 2026-09-19; marks Done once merged. Applies on each toggle (URL-driven, SSR); home hero chips unchanged."
Admin console layout: left sidebar menu (Profile / Claims / Reports / Listings) with right detail panel,3.4 Platform Admin Capabilities,v3.7,1,Frontend,Done,#136,Ready for review 2026-09-19; marks Done once merged. Keeps the admin banner; sidebar becomes scrollable tabs at 375px.
Fix: authenticated API responses no longer served from Next's data cache,N/A -- process (production bug),v3.7,1,Frontend,Done,#141,apiFetch sends cache: no-store when a token is attached. Suspected cause of an owner's list missing a just-approved claim (not confirmed live).
Owner console: one Business account page (/account) in the admin-style shell; /portal/dashboard redirects owners,3.1 User Types (Owner),v3.7,1,Frontend,Done,"#142, #147, #227, #228, #230, #233","Shared console shell (banner + left menu + right panel) for admin and owner; manager keeps the old dashboard. UPDATED 2026-09-24: business page location rows show setup listings inline (#227), ZIP + phone (#228), per-location tags and header buttons next to the brand name (#230), and a Deals button reflecting live/none/hidden state (#233)."
"Add restaurant collects address/phone/website and geocodes (Census primary, Nominatim fallback) in the Next server action",3.2 Owner / Location / Manager Hierarchy; 3.5,v3.7,1,Frontend,Done,#144,Also fixes the location editor refusing saves with null coordinates and re-geocodes on address change. Follow-ups: set NEXT_PUBLIC_CONTACT_EMAIL in Amplify; possible SSR timeout on cold start + slow geocoding.
Scripts guide (docs/SCRIPTS.md),N/A -- dev tooling,v3.7,1,Architect / Docs,Done,#146,"Manual scripts, Lambda management commands, terraform and handy checks."
Phone display formatter (E.164 -> (XXX) XXX-XXXX) and owner links retargeted to /account,3.2; 3.1,v3.7,1,Frontend,Done,#149,Shipped: lib/formatPhone.ts renders E.164 as (XXX) XXX-XXXX; owner links retargeted to /account.
Infra cleanup: S3 lifecycle rule missing filter/prefix; Terraform backend dynamodb_table deprecated (use_lockfile),N/A -- infra hygiene,v3.7,1,Infra,Done,#165,S3 lifecycle filter fixed in #165; DynamoDB use_lockfile migration deliberately left as a flagged human follow-up (duplicate of the Done row further down).
Decision: payments/subscriptions/refunds/payment reports deferred until the rest of the platform is solid (deals engine reopened 2026-09-23),3.3 Free vs Paid Tier; 9. Pricing,v3.7,2,Business,Deferred,N/A,"User decision 2026-09-19 deferred payments/subscriptions/refunds/deals. UPDATED 2026-09-23: the user reopened the deals engine (built as a free-tier feature, see the Deals engine row and #186). Stripe checkout/webhooks/reconciliation, billing dashboard, refunds, coupons and payment reports remain deferred."
"Site copy: 'Indian restaurant' -> 'desi restaurant' (meta titles, About page, geocoder UA)",3.5 Discovery / branding,v3.7,1,Frontend,Done,#151,"desi covers Indian/Pakistani/Nepalese/etc. Cuisine taxonomy values (North/South Indian) intentionally left unchanged -- real data, not branding."
Top-bar account menu: role-aware links (owner/manager get Account + Profile anchor; diner gets My Favorites),3.1 User Types,v3.7,1,Frontend,Done,#152,Anchor id #profile standardized for the owner/manager console pages.
Search location box: geocode the typed city/area instead of ignoring it,3.5 Discovery,v3.7,1,Frontend,Done,#153,"Bug: text box was cosmetic only, always fell back to the Dallas default. Now geocodes (Census/Nominatim) and shows a clear 'no results for X' when the place can't be resolved."
"Dev seed: restaurants across more DFW cities + short test-user emails (ownerN@test.com, password Test123$)",N/A -- dev tooling,v3.7,1,Backend / DevOps,Done,#154,"scripts/create_test_users.py + scripts/data/dfw_multi_city_restaurants.csv. Judgment call: hardcoded dev-only password, flagged against the no-hardcoded-secrets rule as an accepted synthetic-credential exception."
"Manager assignment: configurable max managers/location + max locations/manager, same-owner-only, named-location error messages",3.2 Owner / Location / Manager Hierarchy,v3.7,1,Backend,Done,"#155, #229","New platform_config table (Postgres, not DynamoDB -- judgment call documented in DECISIONS.md: this app has one datastore, a second store for two integers isn't justified). Unknown-email path stays a plain 404, no invite email (SES is Phase-2-deferred). UPDATED 2026-09-24 (#229): the cross-owner error text is now generic to the owner (see the Location Managers row); the named-location messages for the cap errors are unchanged."
Restaurant page: back link + cuisine tags grouped/labeled by category,3.5 Discovery,v3.7,1,Frontend,Done,"#156, #230","Back link prefers real browser history (same-origin referrer), falls back to a /search link. UPDATED 2026-09-24 (#230): the tags shown are the location's own (hero, landing cards, JSON-LD servesCuisine); a brand-level view is the union of its locations' tags."
Owner/manager console: hours refresh without hard reload; tiles show next opening time instead of bare 'Closed',N/A -- process (production bug) / 3.5,v3.7,1,Frontend,Done,#157,"Root cause: console reads are public (no access token), so PR #141's authenticated no-store fix didn't cover them -- fixed with targeted revalidatePath calls on the write actions instead."
Fix: CSV bulk import silently dropped every row's cuisine 'type' column,N/A -- process (production bug),v3.7,1,Backend,Done,#158,Found while building the multi-city seed CSV (#154). Every prior CSV-imported restaurant has had no cuisine tags from its CSV row since the feature shipped.
Restaurant location: phone required (same standing as name),3.2 Owner / Location / Manager Hierarchy,v3.7,1,Backend / Frontend,Done,#159,DB column stays nullable (no migration/backfill risk against existing CSV-imported NULL-phone rows) -- required enforced at the Pydantic/zod layer only.
Owner-scoped activity/audit log (GET /auth/me/activity),3.1 User Types (Owner); 4. Core Principles (audit log),v3.7,1,Backend / Frontend,Done,#160,"Read-only view of the existing audit_log, scoped via real ownership-chain joins (never trusts actor_id/JWT alone). Distinct from the still-open 'Admin: audit log viewer' row below (platform-wide, admin-facing)."
Editable display name for registered_user and manager (new user_profile table),3.1 User Types (Registered User; Manager),v3.7,1,Backend / Frontend,Done,#162,Owner's existing owner_account.full_name mechanism unchanged. Chose a DB-backed field over Cognito self-service attributes -- avoids the ID-token-staleness gap (a changed Cognito attribute wouldn't show until next sign-in).
Manager console redesign to match owner/admin (banner + left menu); fixes stale 'no location list' dashboard message,3.1 User Types (Manager),v3.7,1,Frontend,Done,#163,Ready for review 2026-09-22; marks Done once merged. /portal/dashboard now redirects both owner and manager to /account.
"Restaurant status lifecycle: owner activate/deactivate (hidden from search + direct URL), coming-soon, closed-pending-admin-reopen",3.2; 3.4 Platform Admin Capabilities,v3.7,1,Architect / Backend / Frontend,Done,#169,"Backend design/migration drafted (branch feature/restaurant-status-lifecycle, not opened as a PR) but incomplete: new router not wired into main.py, no tests for the new behavior, no frontend at all. Existing test suite unaffected by the partial change (is_active kept as a derived hybrid_property). UPDATED 2026-09-22: finished and merged -- owner self-service active/owner_deactivated/coming_soon toggle, one-way closed_pending_reopen with admin-approved reopen requests (new /admin/reopen-requests queue), hidden statuses 404 on direct URL + excluded from search, dev_set_location_status script. Known gap: manager's own dashboard list still filters to active-only (pre-existing, out of this PR's scope)."
Infra: fix S3 lifecycle plan warning; flag DynamoDB lockfile migration as human follow-up,N/A -- infra hygiene,v3.7,1,Infra,Done,#165,"dynamodb_table -> use_lockfile deliberately NOT changed -- real state-locking behavior change against an actively-used lock table, documented in infra/backend.tf for a human to evaluate."
CCPA export/deletion: cover listing_report reporter data,7. Non-Functional Requirements (Compliance); 12. Legal & Compliance,v3.7,1,Backend,Done,#166,"Matches by reporter_user_id (Cognito sub), not the free-text reporter_email, to avoid cross-account leakage via a coincidentally-matching typed email."
Admin claims UI: warn when owner-group grant failed on approve,8. Claim & Onboarding Flow; 3.1 User Types,v3.7,1,Frontend,Done,#167,Surfaces owner_group_granted (added to ClaimOut in #138/#139). No e2e test coverage yet for the false-path -- flagged as a QA follow-up.
Fix: frontend DataExport type missing listing_reports field,N/A -- process (type-correctness),v3.7,1,Frontend,Done,#168,"Found while shipping #166; the JSON download itself was already complete (generic JSON.stringify), only the TS type was stale."
Follow button in UI (heart icon on restaurant tiles + detail page),3.1 User Types (Registered User); 4. Core Principles,v3.7,1,Frontend,Done,#170,"Closed a standing gap: the follow backend (#66) and the /account follows grid (#132) existed but no UI ever called the write endpoints. registered_user only, matches the existing backend restriction; icon hidden entirely for owner/manager/admin, sign-in redirect for signed-out visitors. is_followed initial state resolved via one GET /auth/me/follows call per page (page_size 100 cap) rather than a backend schema change -- documented tradeoff for a viewer following >100 restaurants."
"Admin: registered-user count (GET /admin/registered-user-count, Cognito-backed)",3.4 Platform Admin Capabilities,v3.8,1,Backend / Infra,Done,#180,Counts the registered_user Cognito group live (no local diner table exists). Path A: scoped cognito-idp read IAM grant on the one pool ARN instead of giving the post-confirmation Lambda DB access; see DECISIONS.md 'Admin registered-user count'.
"Admin: Platform Overview page (/admin/overview, GET /admin/overview)",3.4; 10. Success Metrics,v3.8,1,Backend / Frontend,Done,#181,"Total restaurants, counts by location status, paid vs free, per-owner status breakdown, plus the live registered-user count tile. Named 'Overview' to avoid clashing with the report-a-problem 'Reports' queue. Two counting grains flagged in the PR (brand vs location)."
"Admin listings: sort by followers (sort=followers, 'Most followed')",3.4 Platform Admin Capabilities,v3.8,1,Backend / Frontend,Done,#181,Extends the admin GET /restaurants list; default sort unchanged.
"Admin listings filters (owner, name, status, tier, city, claimed)",3.4 Platform Admin Capabilities,v3.8,1,Backend / Frontend,Done,#177,"Admin-only GET /restaurants filters, AND-combined; status/tier/city match a brand if ANY of its locations matches. URL-driven filter bar + chips on /admin/listings."
Follower count on owner/manager dashboards and admin listings tile,3.1 User Types; 3.3 Free vs Paid Tier,v3.8,1,Backend / Frontend,Done,"#174, #178",follower_count returned only to owner/admin (GET /restaurants) and the assigned manager (managed-locations); never on the public route. Admin tile render added in #178.
Owner/manager preview of the diner-only follow icon on their own public listing,3.1 User Types,v3.8,1,Frontend,Done,#173,Non-interactive preview labeled 'Diners see a follow button here' for owner/admin/assigned manager on their own listing only.
"Manager activity feed (GET /auth/me/activity broadened to manager, narrower than owner's)",3.1 User Types (Manager),v3.8,1,Backend / Frontend,Done,#175,Manager sees brand + location rows for currently-assigned locations only; never location_manager or owner_account rows. Same endpoint/service as the owner feed (#160).
Hard-delete a location (DELETE /locations/{id}/permanent) closing the delete-brand dead end,3.2 Owner / Location Manager,v3.8,1,Backend / Frontend,Done,#176,"Separate route from the soft-hide; 409 guardrails (must be hidden first, no active manager, no pending claim, ...). Owner of the brand or admin."
Admin registered-users report (GET /admin/registered-users) + user_profile.last_seen_at tracking,3.4 Platform Admin Capabilities,v3.8,1,Backend / Frontend,Done,#184,Diner directory from Cognito group membership + local last_seen_at (migration 0009_user_profile_last_seen_at); throttled 5-min best-effort write for registered_user/manager only. Page /admin/registered-users.
Fix: manager/owner/admin cover + gallery photo upload failed (frontend still PUT to a presigned-POST URL),N/A -- process (production bug),v3.8,1,Frontend,Done,#183,"Contract drift after the resize-pipeline switch to presigned POST (S3-enforced 5MB cap); LocationPhotoManager now posts the returned fields. Not manager-specific. See follow-up on DECISIONS.md 'S3 image resize pipeline' (stale claim, needs Architect-reviewed edit)."
Owner/manager console tiles: split 'Closed now' from 'Closed today',3.5 Homepage and search,v3.8,1,Frontend,Done,#179,'Closed today' now means closed all day; 'Closed now' means it opened today but is past close_time.
Manager location list shows the restaurant (brand) name + 'Forgot password?' copy,3.2 Owner / Location Manager; 3.1 User Types (auth),v3.8,1,Backend / Frontend,Done,#182,brand_name added to ManagedLocationOut / ManagedLocation and rendered as the primary row line.
Fix: follow icon position on tiles + stale My Favourites list after follow/unfollow,3.1 User Types (Registered User),v3.8,1,Frontend,Done,#172,"Wrapper always applied 'relative', overriding the tile's 'absolute'; follow/unfollow actions now revalidatePath."
Deals policy resolution: deals are free-tier; public sees only 'deal(s) available today',3.3 Free vs Paid Tier; 4. Core Principles,v3.8,2,Architect / Docs,Done,#186,"Amended root CLAUDE.md, backend/CLAUDE.md and DECISIONS.md to match #185 (deal content gated by caller role, existence signal public, no is_paid gate)."
